speaker,cluster,distance_to_central
19,4,3.6736057
83,4,4.959777
87,4,4.702844
89,4,4.336967
150,4,4.8759403
250,4,2.6983063
441,4,5.530913
887,4,1.5854117
1363,4,4.2367
1447,4,3.9650893
1502,4,7.3648806
2092,4,2.5967932
2182,4,4.9846354
2196,4,4.8665156
2391,4,2.7139244
2691,4,4.690739
3112,4,2.7748349
3235,4,4.364803
3259,4,6.043951
3947,4,4.2843285
4137,4,1.6652236
4195,4,4.1951137
4214,4,5.368515
4362,4,4.0736585
4640,4,2.7409005
4680,4,1.3549075
5163,4,1.1779797
5514,4,1.3400955
6000,4,6.1782727
6147,4,1.4417572
6272,4,1.5969205
6385,4,3.5537798
6476,4,3.927604
7178,4,1.7814517
7511,4,4.7381015
7780,4,3.7005668
7800,4,2.8071196
8014,4,4.1105156
8051,4,4.9344597
8123,4,2.4726677
8312,4,4.6666064
